"","X","iteration_num","expe_num","validation_result","clock_freq","current_sample","power_sample","energy_sample","shunt_voltage_sample","bus_voltage_sample","current_timestamp","timing_sample"
"1",1,0,0,NA,NA,14.055061340332,73.7689208984375,1.630859375,0.1054078125,5.2486328125,0.03,NA
"2",2,0,0,NA,NA,14.0905380249023,73.9471435546875,3.96484375,0.1056734375,5.248046875,0.064,NA
"3",3,0,0,NA,NA,14.0954971313477,73.9788818359375,6.533203125,0.1057103125,5.2484375,0.098,NA
"4",4,0,0,NA,NA,14.0954971313477,73.9788818359375,9.1015625,0.1057103125,5.2484375,0.133,NA
"5",5,0,0,NA,NA,14.0865325927734,73.924560546875,11.669921875,0.1056440625,5.2478515625,0.167,NA
"6",6,0,0,NA,NA,14.0905380249023,73.9459228515625,14.23828125,0.10567375,5.2478515625,0.201,NA
"7",7,0,0,NA,NA,14.0905380249023,73.9459228515625,16.572265625,0.10567375,5.2478515625,0.235,NA
"8",8,0,0,NA,NA,14.0886306762695,73.939208984375,19.130859375,0.1056596875,5.2482421875,0.269,NA
"9",9,0,0,NA,NA,14.0819549560547,73.9019775390625,21.69921875,0.10560875,5.248046875,0.303,NA
"10",10,0,0,NA,NA,14.0819549560547,73.9019775390625,24.2578125,0.10560875,5.248046875,0.337,NA
"11",11,0,0,NA,NA,14.0670776367188,73.8232421875,26.591796875,0.105498125,5.2478515625,0.371,NA
"12",12,0,0,NA,NA,14.080810546875,73.8995361328125,29.16015625,0.1056009375,5.2482421875,0.405,NA
"13",13,0,0,NA,NA,14.080810546875,73.8995361328125,31.71875,0.1056009375,5.2482421875,0.439,NA
"14",14,0,0,NA,NA,14.0680313110352,73.83056640625,34.27734375,0.10550375,5.2482421875,0.473,NA
"15",15,0,0,NA,NA,14.0604019165039,73.7933349609375,36.845703125,0.1054471875,5.2484375,0.507,NA
"16",16,0,0,NA,NA,14.0604019165039,73.7933349609375,39.404296875,0.1054471875,5.2484375,0.541,NA
"17",17,0,0,NA,NA,14.0628814697266,73.797607421875,41.73828125,0.10546625,5.24765625,0.575,NA
"18",18,0,0,NA,NA,14.076042175293,73.8720703125,44.296875,0.1055640625,5.248046875,0.609,NA
"19",19,0,0,NA,NA,14.076042175293,73.8720703125,46.865234375,0.1055640625,5.248046875,0.643,NA
"20",20,0,0,NA,NA,14.0956878662109,73.973388671875,49.43359375,0.1057121875,5.248046875,0.677,NA
"21",21,0,0,NA,NA,14.0710830688477,73.8427734375,51.7578125,0.1055275,5.2478515625,0.711,NA
"22",22,0,0,NA,NA,14.0710830688477,73.8427734375,54.326171875,0.1055275,5.2478515625,0.745,NA
"23",23,0,0,NA,NA,14.0727996826172,73.8525390625,56.89453125,0.1055409375,5.2478515625,0.779,NA
"24",24,0,0,NA,NA,14.1084671020508,74.0435791015625,59.462890625,0.1058071875,5.2482421875,0.813,NA
"25",25,0,0,NA,NA,14.1084671020508,74.0435791015625,61.787109375,0.1058071875,5.2482421875,0.847,NA
"26",26,0,0,NA,NA,14.0596389770508,73.7896728515625,64.345703125,0.10544125,5.2484375,0.881,NA
"27",27,0,0,NA,NA,14.0420913696289,73.6956787109375,66.904296875,0.10531,5.2482421875,0.915,NA
"28",28,0,0,NA,NA,14.0420913696289,73.6956787109375,69.47265625,0.10531,5.2482421875,0.949,NA
"29",29,0,0,NA,NA,14.0581130981445,73.778076171875,72.03125,0.105430625,5.248046875,0.983,NA
"30",30,0,0,NA,NA,14.0640258789062,73.8043212890625,74.35546875,0.1054753125,5.24765625,1.017,NA
"31",31,0,0,NA,NA,14.0640258789062,73.8043212890625,76.923828125,0.1054753125,5.2484375,1.051,NA
"32",32,0,0,NA,NA,14.0602111816406,73.7933349609375,79.482421875,0.1054453125,5.2484375,1.085,NA
"33",33,0,0,NA,NA,14.0647888183594,73.8134765625,82.05078125,0.1054803125,5.248046875,1.119,NA
"34",34,0,0,NA,NA,14.0647888183594,73.8134765625,84.375,0.1054803125,5.2484375,1.153,NA
"35",35,0,0,NA,NA,14.0863418579102,73.9306640625,86.943359375,0.1056415625,5.2484375,1.187,NA
"36",36,0,0,NA,NA,14.0737533569336,73.8568115234375,89.51171875,0.105546875,5.2478515625,1.221,NA
"37",37,0,0,NA,NA,14.0737533569336,73.8568115234375,92.0703125,0.1056171875,5.2482421875,1.255,NA
"38",38,0,0,NA,NA,14.0830993652344,73.909912109375,94.404296875,0.1056171875,5.2482421875,1.289,NA
"39",39,0,0,NA,NA,14.0535354614258,73.75,96.962890625,0.10539625,5.2478515625,1.323,NA
"40",40,0,0,NA,NA,14.0535354614258,73.75,99.521484375,0.105516875,5.2484375,1.357,NA
"41",41,0,0,NA,NA,14.0697479248047,73.843994140625,102.08984375,0.105516875,5.2484375,1.391,NA
"42",42,0,0,NA,NA,14.0602111816406,73.7939453125,104.6484375,0.1054465625,5.2484375,1.425,NA
"43",43,0,0,NA,NA,14.0602111816406,73.7939453125,106.982421875,0.1055165625,5.248046875,1.46,NA
"44",44,0,0,NA,NA,14.0695571899414,73.8385009765625,109.55078125,0.1055165625,5.248046875,1.494,NA
"45",45,0,0,NA,NA,14.0975952148438,73.9874267578125,112.119140625,0.105725625,5.2482421875,1.528,NA
"46",46,0,0,NA,NA,14.0975952148438,73.9251708984375,114.677734375,0.105644375,5.2478515625,1.562,NA
"47",47,0,0,NA,NA,14.0867233276367,73.9251708984375,117.24609375,0.105644375,5.2478515625,1.596,NA
"48",48,0,0,NA,NA,14.0787124633789,73.8787841796875,119.8046875,0.105584375,5.24765625,1.63,NA
"49",49,0,0,NA,NA,14.0609741210938,73.7884521484375,122.138671875,0.105451875,5.2478515625,1.664,NA
"50",50,0,0,NA,NA,14.0609741210938,73.7884521484375,124.697265625,0.105451875,5.2478515625,1.698,NA
"51",51,0,0,NA,NA,14.0691757202148,73.8275146484375,127.255859375,0.1055134375,5.2474609375,1.732,NA
"52",52,0,0,NA,NA,14.0724182128906,73.8494873046875,129.82421875,0.105538125,5.2478515625,1.766,NA
"53",53,0,0,NA,NA,14.0724182128906,73.8494873046875,132.158203125,0.105538125,5.2478515625,1.8,NA
"54",54,0,0,NA,NA,14.0764236450195,73.87451171875,134.716796875,0.105566875,5.2482421875,1.834,NA
"55",55,0,0,NA,NA,14.0678405761719,73.8287353515625,137.28515625,0.10550375,5.248046875,1.868,NA
"56",56,0,0,NA,NA,14.0678405761719,73.8287353515625,139.853515625,0.10550375,5.248046875,1.902,NA
"57",57,0,0,NA,NA,14.0851974487305,73.914794921875,142.412109375,0.1056328125,5.2478515625,1.936,NA
"58",58,0,0,NA,NA,14.0661239624023,73.8232421875,144.74609375,0.105490625,5.2482421875,1.97,NA
"59",59,0,0,NA,NA,14.0661239624023,73.8232421875,147.3046875,0.105490625,5.2482421875,2.005,NA
"60",60,0,0,NA,NA,14.0558242797852,73.7603759765625,149.86328125,0.1054125,5.24765625,2.039,NA
"61",61,0,0,NA,NA,14.0689849853516,73.828125,152.431640625,0.105511875,5.24765625,2.073,NA
"62",62,0,0,NA,NA,14.0689849853516,73.828125,154.755859375,0.105511875,5.24765625,2.106,NA
"63",63,0,0,NA,NA,14.0739440917969,73.868408203125,157.32421875,0.1055490625,5.2486328125,2.14,NA
"64",64,0,0,NA,NA,14.0766143798828,73.8787841796875,159.8828125,0.105569375,5.2482421875,2.174,NA
"65",65,0,0,NA,NA,14.0766143798828,73.8787841796875,162.451171875,0.105569375,5.2482421875,2.209,NA
"66",66,0,0,NA,NA,14.0674591064453,73.83544921875,164.78515625,0.105500625,5.2486328125,2.243,NA
"67",67,0,0,NA,NA,14.0743255615234,73.863525390625,167.34375,0.105551875,5.248046875,2.277,NA
"68",68,0,0,NA,NA,14.0743255615234,73.863525390625,169.90234375,0.105551875,5.248046875,2.311,NA
"69",69,0,0,NA,NA,14.0510559082031,73.7353515625,172.4609375,0.1053775,5.24765625,2.345,NA
"70",70,0,0,NA,NA,14.0682220458984,73.834228515625,175.029296875,0.1055053125,5.2484375,2.379,NA
"71",71,0,0,NA,NA,14.0682220458984,73.834228515625,177.36328125,0.1055053125,5.2484375,2.413,NA
"72",72,0,0,NA,NA,14.0565872192383,73.77197265625,179.912109375,0.105419375,5.2482421875,2.446,NA
"73",73,0,0,NA,NA,14.042854309082,73.701171875,182.48046875,0.1053159375,5.2482421875,2.48,NA
"74",74,0,0,NA,NA,14.042854309082,73.701171875,185.0390625,0.1053159375,5.2482421875,2.515,NA
"75",75,0,0,NA,NA,14.0823364257813,73.902587890625,187.607421875,0.1056125,5.2478515625,2.549,NA
"76",76,0,0,NA,NA,14.0880584716797,73.929443359375,189.94140625,0.1056540625,5.24765625,2.583,NA
"77",77,0,0,NA,NA,14.0880584716797,73.929443359375,192.5,0.1056540625,5.24765625,2.617,NA
"78",78,0,0,NA,NA,14.0661239624023,73.8153076171875,195.068359375,0.1054903125,5.24765625,2.651,NA
"79",79,0,0,NA,NA,14.0913009643555,73.9556884765625,197.63671875,0.1056790625,5.2484375,2.685,NA
"80",80,0,0,NA,NA,14.0913009643555,73.9556884765625,200.1953125,0.1056790625,5.2478515625,2.719,NA
"81",81,0,0,NA,NA,14.0796661376953,73.8873291015625,202.529296875,0.1055921875,5.2478515625,2.753,NA
"82",82,0,0,NA,NA,14.0945434570312,73.9691162109375,205.09765625,0.10570375,5.248046875,2.787,NA
"83",83,0,0,NA,NA,14.0945434570312,73.9691162109375,207.65625,0.105493125,5.2478515625,2.821,NA
"84",84,0,0,NA,NA,14.0665054321289,73.817138671875,210.224609375,0.105493125,5.2478515625,2.855,NA
"85",85,0,0,NA,NA,14.0762329101562,73.8720703125,212.55859375,0.10556625,5.248046875,2.889,NA
"86",86,0,0,NA,NA,14.0762329101562,73.8720703125,215.1171875,0.1055415625,5.2484375,2.923,NA
"87",87,0,0,NA,NA,14.0729904174805,73.861083984375,217.67578125,0.1055415625,5.2484375,2.957,NA
"88",88,0,0,NA,NA,14.0617370605469,73.8006591796875,220.244140625,0.1054575,5.2484375,2.991,NA
"89",89,0,0,NA,NA,14.0617370605469,73.8006591796875,222.8125,0.105539375,5.2484375,3.025,NA
"90",90,0,0,NA,NA,14.0726089477539,73.8604736328125,225.13671875,0.105539375,5.2484375,3.059,NA
"91",91,0,0,NA,NA,14.0590667724609,73.7860107421875,227.6953125,0.1054371875,5.2482421875,3.093,NA
"92",92,0,0,NA,NA,14.0590667724609,73.7860107421875,230.263671875,0.1054440625,5.2482421875,3.127,NA
"93",93,0,0,NA,NA,14.0600204467773,73.7884521484375,232.822265625,0.1054440625,5.2482421875,3.161,NA
"94",94,0,0,NA,NA,14.079475402832,73.8922119140625,235.15625,0.105590625,5.2482421875,3.195,NA
"95",95,0,0,NA,NA,14.0623092651367,73.7994384765625,237.71484375,0.1054609375,5.248046875,3.229,NA
"96",96,0,0,NA,NA,14.0623092651367,73.7994384765625,240.283203125,0.1054609375,5.248046875,3.263,NA
"97",97,0,0,NA,NA,14.0773773193359,73.8775634765625,242.841796875,0.1055753125,5.248046875,3.297,NA
"98",98,0,0,NA,NA,14.0869140625,73.929443359375,245.17578125,0.1056465625,5.248046875,3.331,NA
"99",99,0,0,NA,NA,14.0869140625,73.929443359375,247.734375,0.1056465625,5.248046875,3.365,NA
"100",100,0,0,NA,NA,14.0296936035156,73.6248779296875,250.29296875,0.105216875,5.2478515625,3.399,NA
"101",101,0,0,NA,NA,14.0546798706055,73.76220703125,252.8515625,0.1054046875,5.2482421875,3.433,NA
"102",102,0,0,NA,NA,14.0546798706055,73.76220703125,255.185546875,0.1054046875,5.2482421875,3.467,NA
"103",103,0,0,NA,NA,14.0583038330078,73.773193359375,257.744140625,0.1054315625,5.24765625,3.501,NA
"104",104,0,0,NA,NA,14.0665054321289,73.8250732421875,260.302734375,0.1054928125,5.2482421875,3.535,NA
"105",105,0,0,NA,NA,14.0665054321289,73.8250732421875,262.861328125,0.1054928125,5.2482421875,3.57,NA
"106",106,0,0,NA,NA,14.0453338623047,73.7152099609375,265.419921875,0.1053346875,5.2484375,3.604,NA
"107",107,0,0,NA,NA,14.0434265136719,73.6993408203125,267.978515625,0.105320625,5.248046875,3.638,NA
"108",108,0,0,NA,NA,14.0434265136719,73.6993408203125,270.3125,0.105320625,5.248046875,3.672,NA
"109",109,0,0,NA,NA,14.0625,73.795166015625,272.87109375,0.1054634375,5.24765625,3.706,NA
"110",110,0,0,NA,NA,14.063835144043,73.8037109375,275.4296875,0.1054734375,5.2478515625,3.74,NA
"111",111,0,0,NA,NA,14.063835144043,73.8037109375,277.998046875,0.1054734375,5.2478515625,3.774,NA
"112",112,0,0,NA,NA,14.063835144043,73.809814453125,280.322265625,0.1054734375,5.2482421875,3.808,NA
"113",113,0,0,NA,NA,14.0655517578125,73.812255859375,282.880859375,0.1054865625,5.24765625,3.842,NA
"114",114,0,0,NA,NA,14.0655517578125,73.812255859375,285.439453125,0.1054865625,5.24765625,3.876,NA
"115",115,0,0,NA,NA,14.027214050293,73.612060546875,288.0078125,0.1051984375,5.2478515625,3.91,NA
"116",116,0,0,NA,NA,14.0752792358398,73.86962890625,290.56640625,0.1055590625,5.2482421875,3.944,NA
"117",117,0,0,NA,NA,14.0752792358398,73.86962890625,292.900390625,0.1055590625,5.2482421875,3.978,NA
"118",118,0,0,NA,NA,14.0689849853516,73.829345703125,295.458984375,0.1055115625,5.24765625,4.012,NA
"119",119,0,0,NA,NA,14.0720367431641,73.8525390625,298.02734375,0.105534375,5.2482421875,4.046,NA
"120",120,0,0,NA,NA,14.0720367431641,73.8525390625,300.595703125,0.105534375,5.2482421875,4.08,NA
"121",121,0,0,NA,NA,14.0758514404297,73.8763427734375,302.919921875,0.10556375,5.2484375,4.114,NA
"122",122,0,0,NA,NA,14.0525817871094,73.74755859375,305.478515625,0.1053878125,5.248046875,4.148,NA
"123",123,0,0,NA,NA,14.0525817871094,73.74755859375,308.02734375,0.1053878125,5.248046875,4.182,NA
"124",124,0,0,NA,NA,14.0371322631836,73.6676025390625,310.595703125,0.1052734375,5.248046875,4.216,NA
"125",125,0,0,NA,NA,14.0438079833984,73.7030029296875,312.91015625,0.1053225,5.248046875,4.25,NA
"126",126,0,0,NA,NA,14.0438079833984,73.7030029296875,315.46875,0.1053225,5.2484375,4.284,NA
"127",127,0,0,NA,NA,14.0256881713867,73.6126708984375,318.02734375,0.1051875,5.2484375,4.318,NA
"128",128,0,0,NA,NA,14.0409469604492,73.68896484375,320.5859375,0.1053009375,5.2482421875,4.352,NA
"129",129,0,0,NA,NA,14.0409469604492,73.68896484375,323.14453125,0.1053009375,5.2482421875,4.386,NA
