iteration,clock_source,vreg,trim,clock_freq
0,lposc,11,000,20000
0,lposc,11,010,25000
0,lposc,11,020,29000
0,lposc,11,030,33000
0,lposc,11,03f,36000
0,lposc,10,000,21000
0,lposc,10,010,25000
0,lposc,10,020,30000
0,lposc,10,030,34000
0,lposc,10,03f,37000
0,lposc,09,000,21000
0,lposc,09,010,25000
0,lposc,09,020,29000
0,lposc,09,030,34000
0,lposc,09,03f,38000
0,lposc,08,000,21000
0,lposc,08,010,26000
0,lposc,08,020,31000
0,lposc,08,030,35000
0,lposc,08,03f,38000
0,lposc,07,000,22000
0,lposc,07,010,27000
0,lposc,07,020,30000
0,lposc,07,030,35000
0,lposc,07,03f,39000
0,lposc,06,000,22000
0,lposc,06,010,27000
0,lposc,06,020,32000
0,lposc,06,030,35000
0,lposc,06,03f,40000
0,lposc,05,000,23000
0,lposc,05,010,28000
0,lposc,05,020,32000
0,lposc,05,030,37000
0,lposc,05,03f,41000
0,lposc,04,000,23000
0,lposc,04,010,29000
0,lposc,04,020,33000
0,lposc,04,030,38000
0,lposc,04,03f,42000
1,lposc,11,000,21000
1,lposc,11,010,25000
1,lposc,11,020,29000
1,lposc,11,030,33000
1,lposc,11,03f,36000
1,lposc,10,000,21000
1,lposc,10,010,25000
1,lposc,10,020,29000
1,lposc,10,030,33000
1,lposc,10,03f,37000
1,lposc,09,000,21000
1,lposc,09,010,25000
1,lposc,09,020,30000
1,lposc,09,030,34000
1,lposc,09,03f,37000
1,lposc,08,000,21000
1,lposc,08,010,25000
1,lposc,08,020,31000
1,lposc,08,030,34000
1,lposc,08,03f,38000
1,lposc,07,000,22000
1,lposc,07,010,27000
1,lposc,07,020,31000
1,lposc,07,030,35000
1,lposc,07,03f,39000
1,lposc,06,000,23000
1,lposc,06,010,28000
1,lposc,06,020,31000
1,lposc,06,030,36000
1,lposc,06,03f,39000
1,lposc,05,000,22000
1,lposc,05,010,28000
1,lposc,05,020,32000
1,lposc,05,030,37000
1,lposc,05,03f,41000
1,lposc,04,000,24000
1,lposc,04,010,29000
1,lposc,04,020,33000
1,lposc,04,030,37000
1,lposc,04,03f,42000
2,lposc,11,000,20000
2,lposc,11,010,25000
2,lposc,11,020,29000
2,lposc,11,030,32000
2,lposc,11,03f,36000
2,lposc,10,000,21000
2,lposc,10,010,25000
2,lposc,10,020,29000
2,lposc,10,030,33000
2,lposc,10,03f,37000
2,lposc,09,000,21000
2,lposc,09,010,26000
2,lposc,09,020,30000
2,lposc,09,030,34000
2,lposc,09,03f,38000
2,lposc,08,000,22000
2,lposc,08,010,26000
2,lposc,08,020,30000
2,lposc,08,030,34000
2,lposc,08,03f,38000
2,lposc,07,000,22000
2,lposc,07,010,26000
2,lposc,07,020,31000
2,lposc,07,030,35000
2,lposc,07,03f,39000
2,lposc,06,000,23000
2,lposc,06,010,27000
2,lposc,06,020,32000
2,lposc,06,030,36000
2,lposc,06,03f,40000
2,lposc,05,000,23000
2,lposc,05,010,27000
2,lposc,05,020,33000
2,lposc,05,030,37000
2,lposc,05,03f,40000
2,lposc,04,000,24000
2,lposc,04,010,28000
2,lposc,04,020,33000
2,lposc,04,030,38000
2,lposc,04,03f,42000
3,lposc,11,000,20000
3,lposc,11,010,25000
3,lposc,11,020,29000
3,lposc,11,030,33000
3,lposc,11,03f,37000
3,lposc,10,000,20000
3,lposc,10,010,25000
3,lposc,10,020,29000
3,lposc,10,030,33000
3,lposc,10,03f,36000
3,lposc,09,000,21000
3,lposc,09,010,26000
3,lposc,09,020,29000
3,lposc,09,030,34000
3,lposc,09,03f,38000
3,lposc,08,000,22000
3,lposc,08,010,26000
3,lposc,08,020,30000
3,lposc,08,030,34000
3,lposc,08,03f,38000
3,lposc,07,000,22000
3,lposc,07,010,26000
3,lposc,07,020,31000
3,lposc,07,030,36000
3,lposc,07,03f,39000
3,lposc,06,000,23000
3,lposc,06,010,27000
3,lposc,06,020,32000
3,lposc,06,030,36000
3,lposc,06,03f,39000
3,lposc,05,000,23000
3,lposc,05,010,28000
3,lposc,05,020,32000
3,lposc,05,030,37000
3,lposc,05,03f,41000
3,lposc,04,000,23000
3,lposc,04,010,28000
3,lposc,04,020,33000
3,lposc,04,030,37000
3,lposc,04,03f,41000
4,lposc,11,000,20000
4,lposc,11,010,25000
4,lposc,11,020,28000
4,lposc,11,030,33000
4,lposc,11,03f,37000
4,lposc,10,000,21000
4,lposc,10,010,25000
4,lposc,10,020,29000
4,lposc,10,030,34000
4,lposc,10,03f,37000
4,lposc,09,000,21000
4,lposc,09,010,26000
4,lposc,09,020,29000
4,lposc,09,030,34000
4,lposc,09,03f,38000
4,lposc,08,000,22000
4,lposc,08,010,26000
4,lposc,08,020,31000
4,lposc,08,030,34000
4,lposc,08,03f,39000
4,lposc,07,000,22000
4,lposc,07,010,27000
4,lposc,07,020,31000
4,lposc,07,030,36000
4,lposc,07,03f,39000
4,lposc,06,000,23000
4,lposc,06,010,27000
4,lposc,06,020,32000
4,lposc,06,030,36000
4,lposc,06,03f,40000
4,lposc,05,000,23000
4,lposc,05,010,27000
4,lposc,05,020,32000
4,lposc,05,030,36000
4,lposc,05,03f,40000
4,lposc,04,000,24000
4,lposc,04,010,28000
4,lposc,04,020,33000
4,lposc,04,030,37000
4,lposc,04,03f,42000
5,lposc,11,000,20000
5,lposc,11,010,25000
5,lposc,11,020,29000
5,lposc,11,030,33000
5,lposc,11,03f,36000
5,lposc,10,000,21000
5,lposc,10,010,25000
5,lposc,10,020,29000
5,lposc,10,030,34000
5,lposc,10,03f,37000
5,lposc,09,000,21000
5,lposc,09,010,26000
5,lposc,09,020,29000
5,lposc,09,030,33000
5,lposc,09,03f,38000
5,lposc,08,000,21000
5,lposc,08,010,26000
5,lposc,08,020,30000
5,lposc,08,030,34000
5,lposc,08,03f,38000
5,lposc,07,000,22000
5,lposc,07,010,27000
5,lposc,07,020,31000
5,lposc,07,030,35000
5,lposc,07,03f,39000
5,lposc,06,000,22000
5,lposc,06,010,27000
5,lposc,06,020,31000
5,lposc,06,030,36000
5,lposc,06,03f,40000
5,lposc,05,000,23000
5,lposc,05,010,28000
5,lposc,05,020,32000
5,lposc,05,030,37000
5,lposc,05,03f,41000
5,lposc,04,000,23000
5,lposc,04,010,28000
5,lposc,04,020,33000
5,lposc,04,030,38000
5,lposc,04,03f,41000
6,lposc,11,000,20000
6,lposc,11,010,25000
6,lposc,11,020,29000
6,lposc,11,030,33000
6,lposc,11,03f,36000
6,lposc,10,000,21000
6,lposc,10,010,25000
6,lposc,10,020,30000
6,lposc,10,030,34000
6,lposc,10,03f,37000
6,lposc,09,000,21000
6,lposc,09,010,25000
6,lposc,09,020,30000
6,lposc,09,030,33000
6,lposc,09,03f,38000
6,lposc,08,000,22000
6,lposc,08,010,26000
6,lposc,08,020,31000
6,lposc,08,030,34000
6,lposc,08,03f,38000
6,lposc,07,000,22000
6,lposc,07,010,27000
6,lposc,07,020,31000
6,lposc,07,030,36000
6,lposc,07,03f,39000
6,lposc,06,000,23000
6,lposc,06,010,27000
6,lposc,06,020,31000
6,lposc,06,030,36000
6,lposc,06,03f,40000
6,lposc,05,000,23000
6,lposc,05,010,28000
6,lposc,05,020,33000
6,lposc,05,030,37000
6,lposc,05,03f,40000
6,lposc,04,000,23000
6,lposc,04,010,28000
6,lposc,04,020,33000
6,lposc,04,030,38000
6,lposc,04,03f,41000
7,lposc,11,000,20000
7,lposc,11,010,24000
7,lposc,11,020,29000
7,lposc,11,030,33000
7,lposc,11,03f,36000
7,lposc,10,000,21000
7,lposc,10,010,25000
7,lposc,10,020,30000
7,lposc,10,030,34000
7,lposc,10,03f,37000
7,lposc,09,000,21000
7,lposc,09,010,26000
7,lposc,09,020,30000
7,lposc,09,030,34000
7,lposc,09,03f,38000
7,lposc,08,000,22000
7,lposc,08,010,26000
7,lposc,08,020,30000
7,lposc,08,030,35000
7,lposc,08,03f,38000
7,lposc,07,000,22000
7,lposc,07,010,26000
7,lposc,07,020,31000
7,lposc,07,030,36000
7,lposc,07,03f,39000
7,lposc,06,000,22000
7,lposc,06,010,27000
7,lposc,06,020,32000
7,lposc,06,030,35000
7,lposc,06,03f,40000
