clock_source,vco_freq,div1,div2,clock_freq
pll,0760,1,6,63000
pll,0760,1,7,108000
pll,0760,2,3,126000
pll,0760,2,4,94500
pll,0760,2,5,75600
pll,0760,2,6,63000
pll,0760,2,7,54000
pll,0760,3,2,126000
pll,0760,3,3,84000
pll,0760,3,4,63000
pll,0760,3,5,50400
pll,0760,3,6,42000
pll,0760,3,7,36001
pll,0760,4,2,94500
pll,0760,4,3,63001
pll,0760,4,4,47250
pll,0760,4,5,37800
pll,0760,4,6,31500
pll,0760,4,7,27000
pll,0760,5,2,75600
pll,0760,5,3,50400
pll,0760,5,4,37800
pll,0760,5,5,30240
pll,0760,5,6,25200
pll,0760,5,7,21600
pll,0760,6,1,126001
pll,0760,6,2,63000
pll,0760,6,3,42000
pll,0760,6,4,31500
pll,0760,6,5,25200
pll,0760,6,6,21000
pll,0760,6,7,18000
pll,0760,7,1,108002
pll,0760,7,2,54000
pll,0760,7,3,36000
pll,0760,7,4,27000
pll,0760,7,5,21600
pll,0760,7,6,18000
pll,0760,7,7,15429
pll,0770,1,6,64000
pll,0770,1,7,109715
pll,0770,2,3,128000
pll,0770,2,4,96000
pll,0770,2,5,76800
pll,0770,2,6,64000
pll,0770,2,7,54857
pll,0770,3,2,128000
pll,0770,3,3,85333
pll,0770,3,4,64000
pll,0770,3,5,51200
pll,0770,3,6,42666
pll,0770,3,7,36571
pll,0770,4,2,96000
pll,0770,4,3,64000
pll,0770,4,4,48000
pll,0770,4,5,38400
pll,0770,4,6,32000
pll,0770,4,7,27429
pll,0770,5,2,76800
pll,0770,5,3,51201
pll,0770,5,4,38400
pll,0770,5,5,30720
pll,0770,5,6,25600
pll,0770,5,7,21943
pll,0770,6,1,128000
pll,0770,6,2,64000
pll,0770,6,3,42667
pll,0770,6,4,32000
pll,0770,6,5,25600
pll,0770,6,6,21334
pll,0770,6,7,18285
pll,0770,7,1,109714
pll,0770,7,2,54857
pll,0770,7,3,36571
pll,0770,7,4,27429
pll,0770,7,5,21943
pll,0770,7,6,18286
pll,0770,7,7,15673
pll,0780,1,6,130001
pll,0780,1,7,55714
pll,0780,2,3,130000
pll,0780,2,4,97501
pll,0780,2,5,78000
pll,0780,2,6,65000
pll,0780,2,7,55714
pll,0780,3,2,130000
pll,0780,3,3,86667
pll,0780,3,4,65000
pll,0780,3,5,52000
pll,0780,3,6,43333
pll,0780,3,7,37143
pll,0780,4,2,97500
pll,0780,4,3,65000
pll,0780,4,4,48750
pll,0780,4,5,39000
pll,0780,4,6,32500
pll,0780,4,7,27857
pll,0780,5,2,78000
pll,0780,5,3,52000
pll,0780,5,4,39000
pll,0780,5,5,31200
pll,0780,5,6,26000
pll,0780,5,7,22286
pll,0780,6,1,130001
pll,0780,6,2,65000
pll,0780,6,3,43333
pll,0780,6,4,32500
pll,0780,6,5,26000
pll,0780,6,6,21666
pll,0780,6,7,18571
pll,0780,7,1,111428
pll,0780,7,2,55715
pll,0780,7,3,37143
pll,0780,7,4,27857
pll,0780,7,5,22285
pll,0780,7,6,18571
pll,0780,7,7,15919
pll,0790,1,6,65000
pll,0790,1,7,55714
pll,0790,2,3,130000
pll,0790,2,4,97500
pll,0790,2,5,78000
pll,0790,2,6,65000
pll,0790,2,7,55714
pll,0790,3,2,130000
pll,0790,3,3,86667
pll,0790,3,4,65000
pll,0790,3,5,52000
pll,0790,3,6,43333
pll,0790,3,7,37143
pll,0790,4,2,97500
pll,0790,4,3,65000
pll,0790,4,4,48750
pll,0790,4,5,39000
pll,0790,4,6,32500
pll,0790,4,7,27857
pll,0790,5,2,78000
pll,0790,5,3,52000
pll,0790,5,4,39000
pll,0790,5,5,31200
pll,0790,5,6,26000
pll,0790,5,7,22286
pll,0790,6,1,130001
pll,0790,6,2,65000
pll,0790,6,3,43334
pll,0790,6,4,32501
pll,0790,6,5,26000
pll,0790,6,6,21666
pll,0790,6,7,18572
pll,0790,7,1,111428
pll,0790,7,2,55714
pll,0790,7,3,37143
pll,0790,7,4,27857
pll,0790,7,5,22285
pll,0790,7,6,18572
pll,0790,7,7,15918
pll,0800,1,6,132000
pll,0800,1,7,56571
pll,0800,2,3,132000
pll,0800,2,4,99000
pll,0800,2,5,79200
pll,0800,2,6,66000
pll,0800,2,7,56572
pll,0800,3,2,132000
pll,0800,3,3,88000
pll,0800,3,4,66000
pll,0800,3,5,52800
pll,0800,3,6,44000
pll,0800,3,7,37715
pll,0800,4,2,99000
pll,0800,4,3,66000
pll,0800,4,4,49500
pll,0800,4,5,39600
pll,0800,4,6,33000
pll,0800,4,7,28286
pll,0800,5,2,79200
pll,0800,5,3,52800
pll,0800,5,4,39600
pll,0800,5,5,31680
pll,0800,5,6,26400
pll,0800,5,7,22628
pll,0800,6,1,132000
pll,0800,6,2,66000
pll,0800,6,3,44000
pll,0800,6,4,33000
pll,0800,6,5,26400
pll,0800,6,6,22000
pll,0800,6,7,18857
pll,0800,7,1,113143
pll,0800,7,2,56572
pll,0800,7,3,37715
pll,0800,7,4,28285
pll,0800,7,5,22629
pll,0800,7,6,18857
pll,0800,7,7,16163
pll,0810,1,6,67000
pll,0810,1,7,114857
pll,0810,2,3,134001
pll,0810,2,4,100500
pll,0810,2,5,80400
pll,0810,2,6,67000
pll,0810,2,7,57429
pll,0810,3,2,134000
pll,0810,3,3,89334
pll,0810,3,4,67000
pll,0810,3,5,53600
pll,0810,3,6,44666
pll,0810,3,7,38286
pll,0810,4,2,100500
pll,0810,4,3,67000
pll,0810,4,4,50250
pll,0810,4,5,40200
pll,0810,4,6,33500
pll,0810,4,7,28714
pll,0810,5,2,80400
pll,0810,5,3,53600
pll,0810,5,4,40200
pll,0810,5,5,32160
pll,0810,5,6,26800
pll,0810,5,7,22971
pll,0810,6,1,134001
pll,0810,6,2,67000
pll,0810,6,3,44666
pll,0810,6,4,33500
pll,0810,6,5,26800
pll,0810,6,6,22333
pll,0810,6,7,19143
pll,0810,7,1,114857
pll,0810,7,2,57428
pll,0810,7,3,38286
pll,0810,7,4,28714
pll,0810,7,5,22972
pll,0810,7,6,19143
pll,0810,7,7,16408
pll,0820,1,6,68000
pll,0820,1,7,116572
pll,0820,2,3,136000
pll,0820,2,4,102000
pll,0820,2,5,81600
pll,0820,2,6,68000
pll,0820,2,7,58285
pll,0820,3,2,136000
pll,0820,3,3,90667
pll,0820,3,4,68000
pll,0820,3,5,54400
pll,0820,3,6,45333
pll,0820,3,7,38858
pll,0820,4,2,102000
pll,0820,4,3,68000
pll,0820,4,4,51000
pll,0820,4,5,40800
pll,0820,4,6,34000
pll,0820,4,7,29143
pll,0820,5,2,81600
pll,0820,5,3,54400
pll,0820,5,4,40800
pll,0820,5,5,32640
pll,0820,5,6,27200
pll,0820,5,7,23314
pll,0820,6,1,136000
pll,0820,6,2,68000
pll,0820,6,3,45333
pll,0820,6,4,34000
pll,0820,6,5,27200
pll,0820,6,6,22667
pll,0820,6,7,19429
pll,0820,7,1,116572
pll,0820,7,2,58285
pll,0820,7,3,38857
pll,0820,7,4,29143
pll,0820,7,5,23315
pll,0820,7,6,19429
pll,0820,7,7,16653
pll,0830,1,6,69000
pll,0830,1,7,59143
pll,0830,2,3,138000
pll,0830,2,4,103500
pll,0830,2,5,82800
pll,0830,2,6,69000
pll,0830,2,7,59143
pll,0830,3,2,138001
pll,0830,3,3,92000
pll,0830,3,4,69000
pll,0830,3,5,55201
pll,0830,3,6,46000
pll,0830,3,7,39429
pll,0830,4,2,103500
pll,0830,4,3,69001
pll,0830,4,4,51750
pll,0830,4,5,41400
pll,0830,4,6,34500
pll,0830,4,7,29571
pll,0830,5,2,82800
pll,0830,5,3,55200
pll,0830,5,4,41400
pll,0830,5,5,33120
pll,0830,5,6,27600
pll,0830,5,7,23657
pll,0830,6,1,138001
pll,0830,6,2,69000
pll,0830,6,3,46000
pll,0830,6,4,34500
pll,0830,6,5,27600
pll,0830,6,6,23000
pll,0830,6,7,19714
pll,0830,7,1,118286
pll,0830,7,2,59143
pll,0830,7,3,39429
pll,0830,7,4,29571
pll,0830,7,5,23657
pll,0830,7,6,19714
pll,0830,7,7,16898
pll,0840,1,6,70000
pll,0840,1,7,60000
pll,0840,2,3,140000
pll,0840,2,4,105000
pll,0840,2,5,84001
pll,0840,2,6,70000
pll,0840,2,7,60000
pll,0840,3,2,140000
pll,0840,3,3,93333
pll,0840,3,4,70000
pll,0840,3,5,56000
pll,0840,3,6,46667
pll,0840,3,7,40000
pll,0840,4,2,105000
pll,0840,4,3,70000
pll,0840,4,4,52500
pll,0840,4,5,42000
pll,0840,4,6,35000
pll,0840,4,7,30000
pll,0840,5,2,84000
pll,0840,5,3,56000
pll,0840,5,4,42000
pll,0840,5,5,33600
pll,0840,5,6,28000
pll,0840,5,7,24000
pll,0840,6,1,140000
pll,0840,6,2,70000
pll,0840,6,3,46666
pll,0840,6,4,35000
pll,0840,6,5,28000
pll,0840,6,6,23334
pll,0840,6,7,20000
pll,0840,7,1,120002
pll,0840,7,2,60000
pll,0840,7,3,40000
pll,0840,7,4,30000
pll,0840,7,5,24000
pll,0840,7,6,20000
pll,0840,7,7,17143
pll,0850,1,6,70000
pll,0850,1,7,60000
pll,0850,2,3,140000
pll,0850,2,4,105000
pll,0850,2,5,84000
pll,0850,2,6,70000
pll,0850,2,7,60000
pll,0850,3,2,140000
pll,0850,3,3,93333
pll,0850,3,4,70000
pll,0850,3,5,56000
pll,0850,3,6,46667
pll,0850,3,7,40000
pll,0850,4,2,105000
pll,0850,4,3,70000
pll,0850,4,4,52500
pll,0850,4,5,42000
pll,0850,4,6,35000
pll,0850,4,7,30000
pll,0850,5,2,84000
pll,0850,5,3,56000
pll,0850,5,4,42000
pll,0850,5,5,33600
pll,0850,5,6,28000
pll,0850,5,7,24000
pll,0850,6,1,140002
pll,0850,6,2,70000
pll,0850,6,3,46666
pll,0850,6,4,35001
pll,0850,6,5,28000
pll,0850,6,6,23334
pll,0850,6,7,20000
pll,0850,7,1,120000
pll,0850,7,2,60000
pll,0850,7,3,40000
pll,0850,7,4,30000
pll,0850,7,5,24000
pll,0850,7,6,20000
pll,0850,7,7,17143
pll,0860,1,6,71000
pll,0860,1,7,60857
pll,0860,2,3,142000
pll,0860,2,4,106500
pll,0860,2,5,85200
pll,0860,2,6,71000
pll,0860,2,7,60857
pll,0860,3,2,142000
pll,0860,3,3,94667
pll,0860,3,4,71000
pll,0860,3,5,56800
pll,0860,3,6,47334
pll,0860,3,7,40572
pll,0860,4,2,106501
pll,0860,4,3,71000
pll,0860,4,4,53250
pll,0860,4,5,42600
pll,0860,4,6,35500
pll,0860,4,7,30428
pll,0860,5,2,85200
pll,0860,5,3,56800
pll,0860,5,4,42600
pll,0860,5,5,34080
pll,0860,5,6,28400
pll,0860,5,7,24342
pll,0860,6,1,142001
