clock_source,vreg,divider,range,freqa,freqb,clock_freq
rosc,11,01,fa4,0001,0001,95304
rosc,11,01,fa4,0001,0003,96271
rosc,11,01,fa4,0001,0005,96397
rosc,11,01,fa4,0001,0007,96815
rosc,11,01,fa4,0001,0017,101601
rosc,11,01,fa4,0001,0037,103154
rosc,11,01,fa4,0001,0057,103033
rosc,11,01,fa4,0001,0077,103971
rosc,11,01,fa4,0001,0177,109863
rosc,11,01,fa4,0001,0377,111862
rosc,11,01,fa4,0001,0577,111936
rosc,11,01,fa4,0001,0777,112989
rosc,11,01,fa4,0001,1777,117298
rosc,11,01,fa4,0001,3777,118764
rosc,11,01,fa4,0001,5777,118985
rosc,11,01,fa4,0001,7777,119722
rosc,11,01,fa4,0003,0001,96498
rosc,11,01,fa4,0003,0003,97499
rosc,11,01,fa4,0003,0005,97628
rosc,11,01,fa4,0003,0007,98016
rosc,11,01,fa4,0003,0017,102894
rosc,11,01,fa4,0003,0037,104579
rosc,11,01,fa4,0003,0057,104443
rosc,11,01,fa4,0003,0077,105327
rosc,11,01,fa4,0003,0177,111383
rosc,11,01,fa4,0003,0377,113516
rosc,11,01,fa4,0003,0577,113513
rosc,11,01,fa4,0003,0777,114564
rosc,11,01,fa4,0003,1777,119061
rosc,11,01,fa4,0003,3777,120614
rosc,11,01,fa4,0003,5777,120804
rosc,11,01,fa4,0003,7777,121573
rosc,11,01,fa4,0005,0001,96477
rosc,11,01,fa4,0005,0003,97459
rosc,11,01,fa4,0005,0005,97602
rosc,11,01,fa4,0005,0007,97998
rosc,11,01,fa4,0005,0017,102874
rosc,11,01,fa4,0005,0037,104545
rosc,11,01,fa4,0005,0057,104447
rosc,11,01,fa4,0005,0077,105328
rosc,11,01,fa4,0005,0177,111343
rosc,11,01,fa4,0005,0377,113459
rosc,11,01,fa4,0005,0577,113563
rosc,11,01,fa4,0005,0777,114587
rosc,11,01,fa4,0005,1777,119015
rosc,11,01,fa4,0005,3777,120579
rosc,11,01,fa4,0005,5777,120775
rosc,11,01,fa4,0005,7777,121535
rosc,11,01,fa4,0007,0001,97021
rosc,11,01,fa4,0007,0003,98056
rosc,11,01,fa4,0007,0005,98166
rosc,11,01,fa4,0007,0007,98552
rosc,11,01,fa4,0007,0017,103528
rosc,11,01,fa4,0007,0037,105204
rosc,11,01,fa4,0007,0057,105066
rosc,11,01,fa4,0007,0077,105976
rosc,11,01,fa4,0007,0177,112145
rosc,11,01,fa4,0007,0377,114228
rosc,11,01,fa4,0007,0577,114257
rosc,11,01,fa4,0007,0777,115356
rosc,11,01,fa4,0007,1777,119885
rosc,11,01,fa4,0007,3777,121418
rosc,11,01,fa4,0007,5777,121641
rosc,11,01,fa4,0007,7777,122399
rosc,11,01,fa4,0017,0001,102403
rosc,11,01,fa4,0017,0003,103494
rosc,11,01,fa4,0017,0005,103683
rosc,11,01,fa4,0017,0007,104124
rosc,11,01,fa4,0017,0017,109629
rosc,11,01,fa4,0017,0037,111511
rosc,11,01,fa4,0017,0057,111355
rosc,11,01,fa4,0017,0077,112435
rosc,11,01,fa4,0017,0177,119328
rosc,11,01,fa4,0017,0377,121726
rosc,11,01,fa4,0017,0577,121847
rosc,11,01,fa4,0017,0777,123060
rosc,11,01,fa4,0017,1777,128196
rosc,11,01,fa4,0017,3777,129955
rosc,11,01,fa4,0017,5777,130215
rosc,11,01,fa4,0017,7777,131103
rosc,11,01,fa4,0037,0001,104182
rosc,11,01,fa4,0037,0003,105382
rosc,11,01,fa4,0037,0005,105512
rosc,11,01,fa4,0037,0007,105976
rosc,11,01,fa4,0037,0017,111671
rosc,11,01,fa4,0037,0037,113678
rosc,11,01,fa4,0037,0057,113516
rosc,11,01,fa4,0037,0077,114623
rosc,11,01,fa4,0037,0177,121819
rosc,11,01,fa4,0037,0377,124226
rosc,11,01,fa4,0037,0577,124377
rosc,11,01,fa4,0037,0777,125630
rosc,11,01,fa4,0037,1777,131011
rosc,11,01,fa4,0037,3777,132905
rosc,11,01,fa4,0037,5777,133166
rosc,11,01,fa4,0037,7777,134090
rosc,11,01,fa4,0057,0001,104260
rosc,11,01,fa4,0057,0003,105416
rosc,11,01,fa4,0057,0005,105559
rosc,11,01,fa4,0057,0007,106013
rosc,11,01,fa4,0057,0017,111789
rosc,11,01,fa4,0057,0037,113686
rosc,11,01,fa4,0057,0057,113548
rosc,11,01,fa4,0057,0077,114674
rosc,11,01,fa4,0057,0177,121922
rosc,11,01,fa4,0057,0377,124325
rosc,11,01,fa4,0057,0577,124527
rosc,11,01,fa4,0057,0777,125710
rosc,11,01,fa4,0057,1777,131107
rosc,11,01,fa4,0057,3777,132988
rosc,11,01,fa4,0057,5777,133214
rosc,11,01,fa4,0057,7777,134113
rosc,11,01,fa4,0077,0001,105161
rosc,11,01,fa4,0077,0003,106376
rosc,11,01,fa4,0077,0005,106488
rosc,11,01,fa4,0077,0007,106986
rosc,11,01,fa4,0077,0017,112821
rosc,11,01,fa4,0077,0037,114787
rosc,11,01,fa4,0077,0057,114694
rosc,11,01,fa4,0077,0077,115696
rosc,11,01,fa4,0077,0177,123040
rosc,11,01,fa4,0077,0377,125552
rosc,11,01,fa4,0077,0577,125699
rosc,11,01,fa4,0077,0777,127018
rosc,11,01,fa4,0077,1777,132567
rosc,11,01,fa4,0077,3777,134472
rosc,11,01,fa4,0077,5777,134669
rosc,11,01,fa4,0077,7777,135605
rosc,11,01,fa4,0177,0001,109469
rosc,11,01,fa4,0177,0003,110776
rosc,11,01,fa4,0177,0005,110891
rosc,11,01,fa4,0177,0007,111439
rosc,11,01,fa4,0177,0017,117776
rosc,11,01,fa4,0177,0037,119960
rosc,11,01,fa4,0177,0057,119781
rosc,11,01,fa4,0177,0077,121017
rosc,11,01,fa4,0177,0177,129103
rosc,11,01,fa4,0177,0377,131920
rosc,11,01,fa4,0177,0577,132020
rosc,11,01,fa4,0177,0777,133403
rosc,11,01,fa4,0177,1777,139536
rosc,11,01,fa4,0177,3777,141621
rosc,11,01,fa4,0177,5777,141833
rosc,11,01,fa4,0177,7777,142910
rosc,11,01,fa4,0377,0001,111038
rosc,11,01,fa4,0377,0003,112362
rosc,11,01,fa4,0377,0005,112564
rosc,11,01,fa4,0377,0007,113039
rosc,11,01,fa4,0377,0017,119567
rosc,11,01,fa4,0377,0037,121830
rosc,11,01,fa4,0377,0057,121696
rosc,11,01,fa4,0377,0077,122894
rosc,11,01,fa4,0377,0177,131236
rosc,11,01,fa4,0377,0377,134135
rosc,11,01,fa4,0377,0577,134253
rosc,11,01,fa4,0377,0777,135716
rosc,11,01,fa4,0377,1777,142012
rosc,11,01,fa4,0377,3777,144168
rosc,11,01,fa4,0377,5777,144438
rosc,11,01,fa4,0377,7777,145582
rosc,11,01,fa4,0577,0001,111222
rosc,11,01,fa4,0577,0003,112566
rosc,11,01,fa4,0577,0005,112716
rosc,11,01,fa4,0577,0007,113256
rosc,11,01,fa4,0577,0017,119829
rosc,11,01,fa4,0577,0037,122089
rosc,11,01,fa4,0577,0057,121931
rosc,11,01,fa4,0577,0077,123196
rosc,11,01,fa4,0577,0177,131596
rosc,11,01,fa4,0577,0377,134492
rosc,11,01,fa4,0577,0577,134567
rosc,11,01,fa4,0577,0777,136063
rosc,11,01,fa4,0577,1777,142359
rosc,11,01,fa4,0577,3777,144600
rosc,11,01,fa4,0577,5777,144921
rosc,11,01,fa4,0577,7777,145968
rosc,11,01,fa4,0777,0001,111982
rosc,11,01,fa4,0777,0003,113351
rosc,11,01,fa4,0777,0005,113496
rosc,11,01,fa4,0777,0007,114009
rosc,11,01,fa4,0777,0017,120691
rosc,11,01,fa4,0777,0037,122956
rosc,11,01,fa4,0777,0057,122807
rosc,11,01,fa4,0777,0077,124105
rosc,11,01,fa4,0777,0177,132592
rosc,11,01,fa4,0777,0377,135547
rosc,11,01,fa4,0777,0577,135641
rosc,11,01,fa4,0777,0777,137156
rosc,11,01,fa4,0777,1777,143569
