iteration,clock_source,vreg,divider,range,freqa,freqb,clock_freq
0,rosc,11,01,fa4,0007,0007,96098
0,rosc,11,01,fa4,0007,0077,103306
0,rosc,11,01,fa4,0007,0777,112611
0,rosc,11,01,fa4,0007,7777,119591
0,rosc,11,01,fa4,0077,0007,104646
0,rosc,11,01,fa4,0077,0077,113282
0,rosc,11,01,fa4,0077,0777,124466
0,rosc,11,01,fa4,0077,7777,133108
0,rosc,11,01,fa4,0777,0007,111590
0,rosc,11,01,fa4,0777,0077,121446
0,rosc,11,01,fa4,0777,0777,134399
0,rosc,11,01,fa4,0777,7777,144548
0,rosc,11,01,fa4,7777,0007,122668
0,rosc,11,01,fa4,7777,0077,134734
0,rosc,11,01,fa4,7777,0777,150914
0,rosc,11,01,fa4,7777,7777,163840
0,rosc,11,01,fa5,0007,0007,122321
0,rosc,11,01,fa5,0007,0077,135592
0,rosc,11,01,fa5,0007,0777,135368
0,rosc,11,01,fa5,0007,7777,135335
0,rosc,11,01,fa5,0077,0007,136635
0,rosc,11,01,fa5,0077,0077,153696
0,rosc,11,01,fa5,0077,0777,153196
0,rosc,11,01,fa5,0077,7777,153135
0,rosc,11,01,fa5,0777,0007,148739
0,rosc,11,01,fa5,0777,0077,168960
0,rosc,11,01,fa5,0777,0777,168501
0,rosc,11,01,fa5,0777,7777,168484
0,rosc,11,01,fa5,7777,0007,169068
0,rosc,11,01,fa5,7777,0077,195730
0,rosc,11,01,fa5,7777,0777,195013
0,rosc,11,01,fa5,7777,7777,194923
0,rosc,11,01,fa7,0007,0007,156342
0,rosc,11,01,fa7,0007,0077,156522
0,rosc,11,01,fa7,0007,0777,156786
0,rosc,11,01,fa7,0007,7777,156937
0,rosc,11,01,fa7,0077,0007,180698
0,rosc,11,01,fa7,0077,0077,181079
0,rosc,11,01,fa7,0077,0777,181426
0,rosc,11,01,fa7,0077,7777,181474
0,rosc,11,01,fa7,0777,0007,202474
0,rosc,11,01,fa7,0777,0077,203065
